Observation ID,Incident_Type,Severity,Short Description
559,Software Bug,Medium,Inconsistent data displayed in reports.
560,Server Outage,Medium,Staging server down for maintenance.
561,Data Breach,High,Social media accounts hacked.
562,Cyber Attack,Critical,Malicious code injected into the website.
563,Hardware Failure,Low,Monitor failure in the main conference room.
564,Network Outage,High,Router failure causing office-wide connectivity issues.
565,Software Bug,Medium,Error messages not displaying correctly.
566,Server Outage,Critical,"File server down, affecting document access."
567,Data Breach,Critical,Employee email accounts compromised.
568,Cyber Attack,High,Unauthorized access attempts on admin panel.
569,Hardware Failure,Low,Keyboard malfunction affecting multiple users.
570,Network Outage,High,VPN connection issues for remote employees.
571,Software Bug,Critical,Payment gateway not processing transactions.
572,Server Outage,Critical,"API server down, affecting integrations."
573,Data Breach,Critical,Data leak from cloud storage service.
574,Cyber Attack,High,Credential stuffing attack on user accounts.
575,Hardware Failure,Medium,Laptop battery failure affecting productivity.
576,Network Outage,Medium,Local network issues causing downtime.
577,Software Bug,High,User interface not rendering on mobile devices.
578,Server Outage,Critical,Backup server failure during data recovery.
579,Data Breach,Critical,Sensitive project files leaked online.
580,Cyber Attack,Critical,Malware infection on company systems.
581,Hardware Failure,Critical,Server power outage due to electrical issues.
582,Network Outage,High,Internet service disruption due to provider issues.
583,Software Bug,High,Feature not working as intended after update.
584,Server Outage,High,Development server down for emergency maintenance.
585,Data Breach,Critical,Customer database accessed without authorization.
586,Cyber Attack,Medium,Phishing emails sent to employees.
587,Hardware Failure,Low,Desktop computer not booting up.
588,Network Outage,Medium,Network latency issues affecting performance.
589,Software Bug,High,Data export feature not functioning properly.
590,Server Outage,Critical,Main application server down for updates.
591,Data Breach,High,Confidential documents shared accidentally.
592,Cyber Attack,Critical,Unauthorized access to cloud storage detected.
593,Hardware Failure,Medium,Network cable failure causing disconnections.
594,Network Outage,Medium,ISP maintenance causing temporary downtime.
595,Software Bug,High,User permissions not applying correctly.
596,Server Outage,High,"Testing server down, affecting QA processes."
597,Data Breach,Critical,Employee personal data leaked on social media.
598,Cyber Attack,Critical,Malicious software detected in email attachments.
599,Hardware Failure,Low,"Laptop screen cracked, requiring replacement."
600,Network Outage,Medium,VPN service down for scheduled maintenance.
601,Software Bug,High,Notifications not triggering for certain events.
602,Server Outage,Critical,Internal server down during peak hours.
603,Data Breach,Critical,User passwords leaked in a security incident.
604,Cyber Attack,High,Attempted breach of firewall detected.
605,Hardware Failure,Critical,Power outage affecting server operations.
606,Network Outage,Medium,Wi-Fi issues causing disruptions in the office.
607,Software Bug,Medium,Application slow to load after recent updates.
608,Server Outage,Critical,Database server down during peak usage.
609,Data Breach,Critical,Customer credit card information compromised.
610,Cyber Attack,High,Malicious login attempts detected on user accounts.
611,Hardware Failure,Critical,Server fan failure causing overheating.
612,Network Outage,High,Local area network failure disrupting services.
613,Software Bug,High,Error in data synchronization between servers.
614,Data Breach,Critical,Sensitive project information leaked online.
615,Cyber Attack,Critical,Unauthorized access to admin accounts detected.
616,Hardware Failure,Low,Laptop charger malfunction affecting multiple users.
617,Network Outage,Medium,ISP issues causing temporary internet downtime.
618,Software Bug,High,User interface not displaying correctly on mobile.
619,Data Breach,Critical,Employee data exposed in a third-party breach.
620,Cyber Attack,Critical,Ransomware detected on company systems.
621,Software Bug,High,Search function returns incorrect results.
622,Cyber Attack,Critical,Unauthorized access attempts on admin panel.
623,Software Bug,High,Error causing application crash on startup.
624,Server Outage,Critical,"Main server went down for 2 hours, affecting all users."
625,Data Breach,Critical,"Unauthorized access to customer data, sensitive information compromised."
626,Cyber Attack,High,DDoS attack led to website downtime for 4 hours.
627,Hardware Failure,Medium,Hard drive failure in primary database server.
628,Network Outage,Medium,Office network failure caused work disruption for 3 hours.
629,Software Bug,Medium,Memory leak issue causing slow performance in app.
630,Server Outage,High,Backup server failed to come online after primary server outage.
631,Data Breach,High,Employee credentials stolen and misused.
632,Cyber Attack,High,Phishing attack resulted in compromised internal emails.
633,Hardware Failure,Critical,Cooling system failure causing server overheating.
634,Network Outage,Medium,VPN service failure affected remote work capabilities.
635,Software Bug,Low,Application feature not working as intended due to recent update.
636,Server Outage,Medium,"Server maintenance window extended, causing unexpected downtime."
637,Data Breach,Critical,Sensitive financial data accessed by unauthorized personnel.
638,Cyber Attack,Critical,Ransomware attack encrypting critical company files.
639,Hardware Failure,High,Power supply issue causing intermittent server reboots.
640,Network Outage,Medium,Intermittent connectivity issues affecting multiple departments.
641,Software Bug,Critical,Application security vulnerability discovered and exploited.
642,Server Outage,Low,Unexpected server reboot causing brief service interruption.
