Observation ID,Incident_Type,Severity,Short Description,Cleaned_Description,Cluster
376,Server Outage,Medium,Temporary disruption in cloud services affecting operations,temporary disruption cloud service affect operation,65
377,Cyber Attack,High,Phishing email compromising multiple employee accounts,phishe email compromise multiple employee account,3
378,Data Breach,Critical,Critical data exposed due to database misconfiguration,critical datum expose due database misconfiguration,82
379,Network Outage,Medium,Network slowdown impacting application performance,network slowdown impact application performance,7
380,Software Bug,High,Bug in reporting module causing inaccurate reports,bug reporting module cause inaccurate report,58
381,Hardware Failure,Severe,Power failure affecting primary data center,power failure affect primary datum center,12
382,Cyber Attack,High,Unauthorized access attempt blocked by security measures,unauthorized access attempt block security measure,50
383,Server Outage,High,Service disruption due to unexpected server overload,service disruption due unexpected server overload,1
384,Software Bug,High,Data loss caused by software malfunction,data loss cause software malfunction,76
385,Hardware Failure,Severe,Critical hardware failure causing prolonged downtime,critical hardware failure cause prolong downtime,91
386,Data Breach,Critical,Security breach due to exposed credentials,security breach due expose credential,29
387,Network Outage,Medium,VPN service outage affecting remote work capabilities,vpn service outage affect remote work capability,26
388,Software Bug,High,Application crash due to unhandled exception,application crash due unhandled exception,13
389,Cyber Attack,High,Network intrusion attempt detected and mitigated,network intrusion attempt detect mitigate,50
390,Server Outage,Medium,Server downtime due to faulty network switch,server downtime due faulty network switch,79
391,Data Breach,Critical,Data breach due to compromised third-party service,datum breach due compromise thirdparty service,84
392,Hardware Failure,Medium,Hardware malfunction causing intermittent failures,hardware malfunction cause intermittent failure,63
393,Software Bug,High,Software issue causing system-wide performance degradation,software cause systemwide performance degradation,68
394,Network Outage,Medium,Network connectivity issues impacting cloud applications,network connectivity issue impact cloud application,7
395,Cyber Attack,Severe,Malware attack causing data corruption,malware attack cause data corruption,38
396,Server Outage,High,Database server crash leading to data access issues,database server crash lead datum access issue,76
397,Software Bug,High,Data loss due to unplanned server reboot,data loss due unplanned server reboot,22
398,Data Breach,Critical,Security vulnerability exploited leading to data compromise,security vulnerability exploit lead datum compromise,64
399,Server Outage,Medium,Server overload causing application downtime,server overload cause application downtime,1
400,Cyber Attack,High,Application vulnerability exploited by attackers,application vulnerability exploit attacker,24
401,Hardware Failure,Medium,Hardware failure resulting in partial system outages,hardware failure result partial system outage,63
402,Software Bug,High,Configuration error leading to data loss,configuration lead datum loss,55
403,Data Breach,Critical,Security breach due to inadequate access controls,security breach due inadequate access control,31
404,Network Outage,Medium,Network outage impacting user access to services,network outage impact user access service,65
405,Server Outage,High,Server crash due to software incompatibility,server crash due software incompatibility,62
406,Software Bug,High,Data corruption caused by failed update script,datum corruption cause fail update script,30
407,Cyber Attack,Severe,Malicious cyber attack leading to system compromise,malicious cyber attack lead system compromise,24
408,Hardware Failure,Severe,Hardware failure causing loss of redundant systems,hardware failure cause loss redundant system,63
409,Data Breach,Critical,Security vulnerability in software exposed critical data,security vulnerability software expose critical datum,64
410,Network Outage,Medium,Network issue causing delay in service response,network cause delay service response,7
411,Software Bug,High,Application bug causing service interruptions,application bug cause service interruption,62
412,Server Outage,Medium,Unexpected server shutdown due to cooling system failure,unexpected server shutdown due cool system failure,8
413,Data Breach,Critical,Data breach from exposed API endpoints,data breach expose api endpoint,11
414,Cyber Attack,High,Malware infection causing system performance issues,malware infection cause system performance issue,78
415,Hardware Failure,Medium,Hardware defect leading to intermittent connectivity issues,hardware defect lead intermittent connectivity issue,44
416,Software Bug,High,Software error causing unexpected application crashes,software cause unexpected application crash,13
417,Server Outage,Severe,Server outage due to data center power failure,server outage due datum center power failure,53
418,Data Breach,Critical,Sensitive information exposed due to security oversight,sensitive information expose due security oversight,41
419,Network Outage,Medium,Network instability affecting remote team communications,network instability affect remote team communication,71
420,Software Bug,High,Bug in user authentication module affecting login,bug user authentication module affect login,33
421,Hardware Failure,Severe,Hardware malfunction leading to critical system downtime,hardware malfunction lead critical system downtime,63
422,Cyber Attack,High,Unauthorized access attempt blocked by security team,unauthorized access attempt block security team,50
423,Software Bug,High,Error in user login module causing crashes,user login module cause crash,33
424,Server Outage,Critical,Main application server down for 2 hours,main application server 2 hour,16
425,Data Breach,High,Unauthorized access to user database,unauthorized access user database,77
426,Cyber Attack,Critical,DDoS attack targeting the company website,ddos attack target company website,34
427,Hardware Failure,High,Disk failure in RAID array causing data loss,disk failure raid array cause data loss,75
428,Network Outage,Critical,Complete network outage due to router malfunction,complete network outage due router malfunction,17
429,Software Bug,Medium,Memory leak in payment processing module,memory leak payment processing module,20
430,Server Outage,Medium,Secondary server down for maintenance,secondary server maintenance,16
431,Data Breach,Medium,Leak of internal email addresses,leak internal email address,73
432,Cyber Attack,Medium,Phishing attempt targeting employees,phishing attempt target employee,3
433,Hardware Failure,High,Power supply failure in critical server,power supply failure critical server,12
434,Network Outage,Low,Intermittent connectivity issues,intermittent connectivity issue,44
435,Software Bug,Medium,Incorrect calculations in reporting module,incorrect calculation report module,32
436,Server Outage,Low,Scheduled maintenance downtime,schedule maintenance downtime,61
437,Data Breach,High,Exposure of confidential client information,exposure confidential client information,57
438,Cyber Attack,Critical,Ransomware attack encrypting files,ransomware attack encrypt file,10
439,Hardware Failure,High,Failure in backup storage system,failure backup storage system,42
440,Network Outage,Medium,Slow network speeds affecting all users,slow network speed affect user,7
441,Software Bug,Low,UI glitches in mobile application,ui glitche mobile application,70
442,Server Outage,Critical,Database server unavailable for 4 hours,database server unavailable 4 hour,37
443,Data Breach,High,Leak of source code repository,leak source code repository,41
444,Cyber Attack,High,SQL injection attack on public-facing site,sql injection attack publicface site,0
445,Hardware Failure,Critical,Malfunctioning cooling system in server room,malfunctioning cool system server room,8
446,Network Outage,Medium,VPN service interruption,vpn service interruption,26
447,Software Bug,Medium,Incompatibility with latest operating system update,incompatibility late operating system update,68
448,Server Outage,High,Unplanned downtime due to hardware upgrade,unplanned downtime due hardware upgrade,61
449,Data Breach,High,Unauthorized access to financial records,unauthorized access financial record,25
450,Cyber Attack,Critical,Malware infection spreading across network,malware infection spread across network,78
451,Hardware Failure,Medium,Defective network card causing connectivity issues,defective network card cause connectivity issue,21
452,Network Outage,High,DNS server issues causing site unavailability,dns server issue cause site unavailability,27
453,Software Bug,Medium,Incorrect user permissions settings,incorrect user permission setting,35
454,Server Outage,Critical,Server crash due to overload,server crash due overload,37
455,Data Breach,High,Sensitive internal documents leaked,sensitive internal document leak,41
456,Cyber Attack,Medium,Social engineering attack on employees,social engineering attack employee,3
457,Hardware Failure,Medium,Faulty hard drive in development server,faulty hard drive development server,6
458,Network Outage,High,Cable damage causing regional outage,cable damage cause regional outage,86
459,Software Bug,High,Application freezes under heavy load,application freeze heavy load,56
460,Server Outage,Medium,Backup server not responding,backup server respond,42
461,Data Breach,High,Exposure of personal identifiable information (PII),exposure personal identifiable information pii,57
462,Cyber Attack,Critical,Zero-day vulnerability exploited,zeroday vulnerability exploit,24
463,Hardware Failure,Medium,Defective memory module causing crashes,defective memory module cause crash,76
464,Network Outage,Low,Wi-Fi network issues affecting office productivity,wifi network issue affect office productivity,36
465,Software Bug,High,Broken API endpoint in recent release,break api endpoint recent release,66
466,Server Outage,Medium,Server reboot failure,server reboot failure,22
467,Data Breach,High,Unsecured FTP server exposed sensitive data,unsecured ftp server expose sensitive datum,11
468,Cyber Attack,Medium,Cryptojacking malware detected,cryptojacke malware detect,90
469,Hardware Failure,Critical,Power outage affecting server room,power outage affect server room,53
470,Network Outage,Medium,ISP outage causing internet connectivity issues,isp outage cause internet connectivity issue,27
471,Software Bug,Low,Incorrect data displayed in dashboard,incorrect datum display dashboard,45
472,Server Outage,High,Unscheduled downtime due to security patch,unscheduled downtime due security patch,61
473,Data Breach,High,Exposure of encryption keys,exposure encryption key,57
474,Cyber Attack,Medium,Spoofing attack targeting internal communication,spoof attack target internal communication,0
475,Hardware Failure,High,Failed RAID rebuild process,fail raid rebuild process,75
476,Network Outage,Medium,Intermittent latency issues,intermittent latency issue,7
477,Software Bug,High,Broken user registration process,break user registration process,33
478,Server Outage,Medium,Unplanned outage due to software conflict,unplanned outage due software conflict,91
479,Data Breach,High,Leak of employee personal information,leak employee personal information,77
480,Cyber Attack,Critical,Worm spreading across the network,worm spread across network,38
481,Hardware Failure,High,Overheating issue in critical server,overheat critical server,8
482,Network Outage,High,Malfunction in network switch causing disruption,malfunction network switch cause disruption,17
483,Software Bug,Medium,Application crashes when saving files,application crash save file,81
484,Server Outage,Low,Scheduled downtime for software upgrade,schedule downtime software upgrade,61
485,Data Breach,Medium,Exposure of internal audit logs,exposure internal audit log,57
486,Cyber Attack,Medium,Credential stuffing attack on login page,credential stuff attack login page,67
487,Hardware Failure,High,Issue with server fan causing thermal shutdown,server fan cause thermal shutdown,8
488,Network Outage,Critical,Broken fiber optic link causing connectivity issues,break fiber optic link cause connectivity issue,86
489,Software Bug,Medium,Error in data synchronization module,datum synchronization module,59
490,Server Outage,High,Server downtime due to database corruption,server downtime due database corruption,1
491,Data Breach,High,Public exposure of project plans,public exposure project plan,57
492,Cyber Attack,High,Man-in-the-middle attack detected,maninthemiddle attack detect,0
493,Hardware Failure,Medium,Faulty SSD causing system crashes,faulty ssd cause system crash,76
494,Network Outage,Low,Problems with wireless access points,problem wireless access point,36
495,Software Bug,High,Security flaw in authentication system,security flaw authentication system,67
496,Server Outage,Medium,Unplanned downtime due to network issue,unplanned downtime due network,79
497,Data Breach,High,Sensitive financial data exposed,sensitive financial datum expose,5
498,Cyber Attack,Critical,Exploit of known vulnerability in software,exploit know vulnerability software,24
499,Hardware Failure,High,Defective cooling fan causing overheating,defective cool fan cause overheat,8
500,Network Outage,Medium,LAN issues affecting office operations,lan issue affect office operation,36
501,Software Bug,Medium,Functionality broken in latest patch,functionality break late patch,28
502,Server Outage,High,Server down due to outdated firmware,server due outdated firmware,62
503,Data Breach,Medium,Exposure of customer support chat logs,exposure customer support chat log,57
504,Cyber Attack,Medium,DNS spoofing attack detected,dns spoof attack detect,0
505,Hardware Failure,High,Failed UPS causing power issues,fail up cause power issue,12
506,Network Outage,High,Regional network disruptions,regional network disruption,86
507,Software Bug,Medium,Issues with third-party library integration,issue thirdparty library integration,84
508,Server Outage,High,Database server crash,database server crash,62
509,Data Breach,High,Insecure API exposing user data,insecure api expose user datum,11
510,Cyber Attack,Critical,Exploit of zero-day vulnerability,exploit zeroday vulnerability,24
511,Hardware Failure,Medium,Error in network interface card,network interface card,21
512,Network Outage,High,Problems with internet service provider,problem internet service provider,39
513,Software Bug,Medium,Unexpected behavior in new feature release,unexpected behavior new feature release,28
514,Server Outage,High,Unplanned downtime due to software error,unplanned downtime due software,61
515,Data Breach,High,Exposure of project source code,exposure project source code,57
516,Cyber Attack,High,Compromised employee credentials,compromise employee credential,29
517,Software Bug,High,Login page fails to authenticate users.,login page fail authenticate user,33
518,Server Outage,Critical,"Main server went down, affecting all services.",main server go affect service,52
519,Data Breach,Critical,Unauthorized access to customer data detected.,unauthorized access customer datum detect,43
520,Cyber Attack,Critical,DDoS attack targeted the company website.,ddos attack target company website,34
521,Hardware Failure,High,Hard drive failure in the backup server.,hard drive failure backup server,42
522,Network Outage,Medium,Network connectivity issues in the office.,network connectivity issue office,36
523,Software Bug,High,Application crashes when uploading files.,application crash upload file,81
524,Server Outage,High,Database server downtime during maintenance.,database server downtime maintenance,1
525,Data Breach,Critical,Sensitive data exposed due to misconfigured settings.,sensitive datum expose due misconfigured setting,82
526,Cyber Attack,Medium,Phishing attempt reported by multiple employees.,phishe attempt report multiple employee,3
527,Hardware Failure,Low,Printer malfunction affecting printing services.,printer malfunction affect printing service,83
528,Network Outage,High,"VPN service down, affecting remote workers.",vpn service affect remote worker,26
529,Software Bug,Medium,Search function returns incorrect results.,search function return incorrect result,49
530,Server Outage,Critical,"Email server outage, preventing email access.",email server outage prevent email access,73
531,Data Breach,Critical,Employee credentials leaked in a third-party breach.,employee credential leak thirdparty breach,29
532,Cyber Attack,Critical,Ransomware detected on employee workstations.,ransomware detect employee workstation,10
533,Hardware Failure,Critical,Power supply failure in the main server room.,power supply failure main server room,12
534,Network Outage,Medium,Intermittent internet connectivity issues.,intermittent internet connectivity issue,44
535,Software Bug,High,Mobile app crashes on startup.,mobile app crash startup,13
536,Server Outage,High,Backup server unavailable during scheduled backup.,backup server unavailable schedule backup,42
537,Data Breach,Critical,Unauthorized access to internal documents.,unauthorized access internal document,41
538,Cyber Attack,High,SQL injection attempt detected on the website.,sql injection attempt detect website,0
539,Hardware Failure,High,Network switch failure causing downtime.,network switch failure cause downtime,79
540,Network Outage,Medium,Wi-Fi issues affecting office connectivity.,wifi issue affect office connectivity,36
541,Software Bug,High,Incorrect billing amounts displayed in invoices.,incorrect billing amount display invoice,85
542,Server Outage,Critical,Application server downtime due to overload.,application server downtime due overload,1
543,Data Breach,Critical,Customer payment information compromised.,customer payment information compromise,20
544,Cyber Attack,Critical,Malware detected on company laptops.,malware detect company laptop,78
545,Hardware Failure,Critical,Cooling system failure in the server room.,cool system failure server room,8
546,Network Outage,Medium,LAN issues affecting internal communication.,lan issue affect internal communication,71
547,Software Bug,High,User profiles not saving changes correctly.,user profile save change correctly,35
548,Server Outage,Critical,"Web server down, affecting public access.",web server affect public access,31
549,Data Breach,Critical,Sensitive employee data exposed on the dark web.,sensitive employee datum expose dark web,43
550,Cyber Attack,High,Brute force attack on user accounts detected.,brute force attack user account detect,18
551,Hardware Failure,Critical,"Server rack overheating, causing shutdown.",server rack overheat cause shutdown,8
552,Network Outage,Medium,ISP issues causing internet downtime.,isp issue cause internet downtime,27
553,Software Bug,High,Notifications not being sent to users.,notification send user,46
554,Server Outage,High,Development server unavailable during updates.,development server unavailable update,16
555,Data Breach,Critical,Third-party vendor exposed data through API.,thirdparty vendor expose datum api,84
556,Cyber Attack,Critical,Attempted data exfiltration detected.,attempt datum exfiltration detect,82
557,Hardware Failure,Critical,Faulty RAM causing server crashes.,faulty ram cause server crash,76
558,Network Outage,High,Firewall misconfiguration blocking access.,firewall misconfiguration block access,50
559,Software Bug,Medium,Inconsistent data displayed in reports.,inconsistent datum display report,45
560,Server Outage,Medium,Staging server down for maintenance.,stage server maintenance,16
561,Data Breach,High,Social media accounts hacked.,social medium account hack,67
562,Cyber Attack,Critical,Malicious code injected into the website.,malicious code inject website,0
563,Hardware Failure,Low,Monitor failure in the main conference room.,monitor failure main conference room,12
564,Network Outage,High,Router failure causing office-wide connectivity issues.,router failure cause officewide connectivity issue,36
565,Software Bug,Medium,Error messages not displaying correctly.,message display correctly,74
566,Server Outage,Critical,"File server down, affecting document access.",file server affect document access,31
567,Data Breach,Critical,Employee email accounts compromised.,employee email account compromise,73
568,Cyber Attack,High,Unauthorized access attempts on admin panel.,unauthorized access attempt admin panel,69
569,Hardware Failure,Low,Keyboard malfunction affecting multiple users.,keyboard malfunction affect multiple user,14
570,Network Outage,High,VPN connection issues for remote employees.,vpn connection issue remote employee,26
571,Software Bug,Critical,Payment gateway not processing transactions.,payment gateway processing transaction,20
572,Server Outage,Critical,"API server down, affecting integrations.",api server affect integration,66
573,Data Breach,Critical,Data leak from cloud storage service.,datum leak cloud storage service,82
574,Cyber Attack,High,Credential stuffing attack on user accounts.,credential stuff attack user account,67
575,Hardware Failure,Medium,Laptop battery failure affecting productivity.,laptop battery failure affect productivity,47
576,Network Outage,Medium,Local network issues causing downtime.,local network issue cause downtime,79
577,Software Bug,High,User interface not rendering on mobile devices.,user interface render mobile device,70
578,Server Outage,Critical,Backup server failure during data recovery.,backup server failure datum recovery,6
579,Data Breach,Critical,Sensitive project files leaked online.,sensitive project file leak online,41
580,Cyber Attack,Critical,Malware infection on company systems.,malware infection company system,78
581,Hardware Failure,Critical,Server power outage due to electrical issues.,server power outage due electrical issue,53
582,Network Outage,High,Internet service disruption due to provider issues.,internet service disruption due provider issue,39
583,Software Bug,High,Feature not working as intended after update.,feature work intended update,28
584,Server Outage,High,Development server down for emergency maintenance.,development server emergency maintenance,16
585,Data Breach,Critical,Customer database accessed without authorization.,customer database access without authorization,77
586,Cyber Attack,Medium,Phishing emails sent to employees.,phishe email send employee,3
587,Hardware Failure,Low,Desktop computer not booting up.,desktop computer booting,40
588,Network Outage,Medium,Network latency issues affecting performance.,network latency issue affect performance,7
589,Software Bug,High,Data export feature not functioning properly.,data export feature function properly,74
590,Server Outage,Critical,Main application server down for updates.,main application server update,16
591,Data Breach,High,Confidential documents shared accidentally.,confidential document share accidentally,41
592,Cyber Attack,Critical,Unauthorized access to cloud storage detected.,unauthorized access cloud storage detect,69
593,Hardware Failure,Medium,Network cable failure causing disconnections.,network cable failure cause disconnection,86
594,Network Outage,Medium,ISP maintenance causing temporary downtime.,isp maintenance cause temporary downtime,79
595,Software Bug,High,User permissions not applying correctly.,user permission apply correctly,35
596,Server Outage,High,"Testing server down, affecting QA processes.",testing server affect qa process,54
597,Data Breach,Critical,Employee personal data leaked on social media.,employee personal datum leak social medium,5
598,Cyber Attack,Critical,Malicious software detected in email attachments.,malicious software detect email attachment,90
599,Hardware Failure,Low,"Laptop screen cracked, requiring replacement.",laptop screen crack require replacement,47
600,Network Outage,Medium,VPN service down for scheduled maintenance.,vpn service schedule maintenance,26
601,Software Bug,High,Notifications not triggering for certain events.,notification trigger certain event,46
602,Server Outage,Critical,Internal server down during peak hours.,internal server peak hour,87
603,Data Breach,Critical,User passwords leaked in a security incident.,user password leak security incident,29
604,Cyber Attack,High,Attempted breach of firewall detected.,attempt breach firewall detect,50
605,Hardware Failure,Critical,Power outage affecting server operations.,power outage affect server operation,53
606,Network Outage,Medium,Wi-Fi issues causing disruptions in the office.,wifi issue cause disruption office,36
607,Software Bug,Medium,Application slow to load after recent updates.,application slow load recent update,19
608,Server Outage,Critical,Database server down during peak usage.,database server peak usage,37
609,Data Breach,Critical,Customer credit card information compromised.,customer credit card information compromise,80
610,Cyber Attack,High,Malicious login attempts detected on user accounts.,malicious login attempt detect user account,18
611,Hardware Failure,Critical,Server fan failure causing overheating.,server fan failure cause overheat,8
612,Network Outage,High,Local area network failure disrupting services.,local area network failure disrupt service,86
613,Software Bug,High,Error in data synchronization between servers.,data synchronization server,59
614,Data Breach,Critical,Sensitive project information leaked online.,sensitive project information leak online,41
615,Cyber Attack,Critical,Unauthorized access to admin accounts detected.,unauthorized access admin account detect,18
616,Hardware Failure,Low,Laptop charger malfunction affecting multiple users.,laptop charger malfunction affect multiple user,47
617,Network Outage,Medium,ISP issues causing temporary internet downtime.,isp issue cause temporary internet downtime,27
618,Software Bug,High,User interface not displaying correctly on mobile.,user interface display correctly mobile,48
619,Data Breach,Critical,Employee data exposed in a third-party breach.,employee datum expose thirdparty breach,43
620,Cyber Attack,Critical,Ransomware detected on company systems.,ransomware detect company system,10
621,Software Bug,High,Search function returns incorrect results.,search function return incorrect result,49
622,Cyber Attack,Critical,Unauthorized access attempts on admin panel.,unauthorized access attempt admin panel,69
623,Software Bug,High,Error causing application crash on startup.,cause application crash startup,13
624,Server Outage,Critical,"Main server went down for 2 hours, affecting all users.",main server go 2 hour affect user,52
625,Data Breach,Critical,"Unauthorized access to customer data, sensitive information compromised.",unauthorized access customer datum sensitive information compromise,43
626,Cyber Attack,High,DDoS attack led to website downtime for 4 hours.,ddos attack lead website downtime 4 hour,34
627,Hardware Failure,Medium,Hard drive failure in primary database server.,hard drive failure primary database server,6
628,Network Outage,Medium,Office network failure caused work disruption for 3 hours.,office network failure cause work disruption 3 hour,36
629,Software Bug,Medium,Memory leak issue causing slow performance in app.,memory leak cause slow performance app,56
630,Server Outage,High,Backup server failed to come online after primary server outage.,backup server fail come online primary server outage,42
631,Data Breach,High,Employee credentials stolen and misused.,employee credential steal misuse,29
632,Cyber Attack,High,Phishing attack resulted in compromised internal emails.,phishe attack resulted compromise internal email,3
633,Hardware Failure,Critical,Cooling system failure causing server overheating.,cool system failure cause server overheat,8
634,Network Outage,Medium,VPN service failure affected remote work capabilities.,vpn service failure affect remote work capability,26
635,Software Bug,Low,Application feature not working as intended due to recent update.,application feature work intend due recent update,28
636,Server Outage,Medium,"Server maintenance window extended, causing unexpected downtime.",server maintenance window extend cause unexpected downtime,61
637,Data Breach,Critical,Sensitive financial data accessed by unauthorized personnel.,sensitive financial datum access unauthorized personnel,5
638,Cyber Attack,Critical,Ransomware attack encrypting critical company files.,ransomware attack encrypt critical company file,10
639,Hardware Failure,High,Power supply issue causing intermittent server reboots.,power supply cause intermittent server reboot,12
640,Network Outage,Medium,Intermittent connectivity issues affecting multiple departments.,intermittent connectivity issue affect multiple department,44
641,Software Bug,Critical,Application security vulnerability discovered and exploited.,application security vulnerability discover exploit,24
642,Server Outage,Low,Unexpected server reboot causing brief service interruption.,unexpected server reboot cause brief service interruption,22
